block,coder,date,id,latency_sit,latency_down
3,MY,2018-07-10,817251,8,5
3,MY,2018-07-10,101335,22,NA
3,MY,2018-07-10,633669,30,NA
3,MY,2018-07-10,778050,0,30
3,MY,2018-08-21,163671,0,1
3,MY,2018-08-21,123764,1,2
3,MY,2018-08-21,824291,2,2
3,MY,2018-08-21,778050,1,1
3,MY,2019-09-09,110545,3,5
3,MY,2019-09-09,101587,30,5
3,MY,2018-09-10,958997,1,11
3,MY,2019-05-14,842315,30,NA
3,MY,2018-10-29,817991,2,3
3,MY,2018-08-21,101196,1,1
3,MY,2018-08-21,120627,30,30
3,MY,2018-05-22,905332,30,30
3,MY,2018-01-29,970993,30,1
3,MY,2018-03-12,970993,2,2
3,MY,2019-06-25,963725,2,1
3,MY,2019-02-18,875568,1,6
3,MY,2019-09-09,159649,1,30
3,MY,2019-06-25,139292,7,3
3,MY,2018-10-29,812763,1,0
3,MY,2019-03-04,109231,1,0
3,MY,2019-09-09,982356,30,2
3,MY,2018-03-12,123764,4,3
